Last Name	First and Middle Name	Departments	Faculty	ORCID
Bell	Adam Patrick	Music - Education	Don Wright Faculty of Music	0000-0002-8500-9754
Ramsay	Mark	Music - Education	Don Wright Faculty of Music	0009-0008-9722-6722
Richardson	Colleen	"Music - Education, Music - Performance Studies"	Don Wright Faculty of Music	
Watson	Kevin E	Music - Education	Don Wright Faculty of Music	0000-0002-7210-607X
Wright	Ruth	Music - Education	Don Wright Faculty of Music	0000-0002-0950-5166
Kim	Michael	Music - Office of the Dean	Don Wright Faculty of Music	0009-0005-2024-7021
Nolan	Catherine	Music - Office of the Dean	Don Wright Faculty of Music	0009-0000-1697-0317
Baerg	Theodore Paul	"Music - Performance Studies, Otolaryngology"	"Don Wright Faculty of Music, Schulich School of Medicine & Dentistry"	0009-0000-5470-8061
Green	Patricia	Music - Performance Studies	Don Wright Faculty of Music	0009-0003-6931-6185
Hodgson	Aaron	Music - Performance Studies	Don Wright Faculty of Music	0009-0007-8359-3305
Jiron	Denis Omar	Music - Performance Studies	Don Wright Faculty of Music	0009-0004-4060-3348
Kim	Kyung	Music - Performance Studies	Don Wright Faculty of Music	0009-0003-9054-4529
Kinton	Leslie	Music - Performance Studies	Don Wright Faculty of Music	0009-0006-8779-8845
Luti	Simone	Music - Performance Studies	Don Wright Faculty of Music	0009-0005-9711-1579
Roland	Sophie Louise Chantal	Music - Performance Studies	Don Wright Faculty of Music	0009-0008-6854-9733
Starling	Jana	Music - Performance Studies	Don Wright Faculty of Music	0009-0000-8648-4699
Sylvestre	Stephan	Music - Performance Studies	Don Wright Faculty of Music	
Thompson	Bobbi Amanda	Music - Performance Studies	Don Wright Faculty of Music	0009-0001-6064-3687
Vogel	Annette-Barbara	Music - Performance Studies	Don Wright Faculty of Music	0009-0004-7452-2976
Wei	Sharon	Music - Performance Studies	Don Wright Faculty of Music	0009-0004-1520-4337
Wiebe	Thomas	Music - Performance Studies	Don Wright Faculty of Music	
Wong	Tracy	Music - Performance Studies	Don Wright Faculty of Music	0009-0005-3210-5733
