Last Name,First Name,ORCID
 ,Thomas,NO
Abada,Teresa,0000-0002-9576-1632
Abdelrazek,Mohamed,NO
Abdolvand,Hamidreza,0000-0003-4384-111X
Abdul Karim,Mustafa,0000-0001-8581-7009
Abdul-Karim,Rasha,NO
Abdulla,Rosanne,0009-0002-5150-3727
Abdulsatar,Farah,0000-0003-2426-0723
Abramson,Joy Shira,0000-0002-6627-0068
Abu Rafea,Basim,0000-0002-9601-7098
Accorsi,Fabio,0000-0002-1566-1368
Adams,Scott,0000-0001-9370-6798
Adams,Tracey,0000-0002-6649-5988
Adamson,Melitta,NO
Adamus,Janusz A,NO
Ade-Dosumu,Adedoyin,NO
Adler,Melissa,0000-0002-2867-4600
Adunuri,Nikesh,NO
Agrawal,Sumit,0000-0002-1309-3838
Ahmad,Mohamad,NO
Ahmad,Belal,NO
Ahmadi,Latifeh,0000-0001-9164-5055
Ahmed,Mobeen,NO
Ainsworth,Peter,0000-0002-2181-4607
Aitken Schermer,Julie,0000-0002-3469-7710
Ajiferuke,Isola,0000-0003-2813-9349
Akbari,Alireza,NO
Akhtar,Saima,NO
Akincioglu,Cigdem,0000-0003-3356-6492
Alaazi,Dominic,0000-0001-5513-2551
Al-Areibi,Arif,NO
Alcantara,Chris,0000-0001-6089-1114
Al-Dhaher,Firas,NO
Alfaro,Hilda,NO
Al-fayume,Anwar,NO
Ali,Shaimaa,0000-0002-9329-9026
Ali,Adam,0000-0001-9346-3626
Ali,Shehzad,NO
Al-Jaishi,Ahmed,NO
Alkhamesi,Nawar,0000-0001-6217-6253
Alkumru,Hasan,0000-0002-6679-6342
Allan,Alison,0000-0002-0344-1181
Allana,Saleema,0000-0002-8052-8299
Allen,Roy,0009-0006-3963-5195
Allen,Larry,NO
Allison,David,NO
Allman,Brian,0000-0001-8793-2019
AlMahamid,Fadi,0000-0002-6907-7626
AlMutawa,Fatimah,0000-0002-3978-1823
Al-Nahdi,Saleh,NO
Al-Osman,Abdulrahman,0000-0002-5882-2977
Altamirano-Diaz,Luis,0000-0001-9416-1670
Alvarez,Liliana,0000-0001-9934-3414
Amann,Justin,0000-0002-0694-0488
Ambtman-Smith,Vanessa,0000-0001-7760-269X
Anazodo,Udunna,NO
Andersen,Bob,0000-0003-4095-8259
Anderson,Cameron,0000-0002-4334-5696
Anderson,Michael,0000-0003-0572-115X
Anderson,Cory,NO
Anderson,Scott,NO
Anderson,Matthew,NO
Anderson,Kelly,0000-0001-9843-404X
Andrade Banuelos,Andrea,NO
Andrejkow,Joanna,0009-0003-3579-5210
Andrews,Tallulah,0000-0003-1120-2196
Andriatti Paulo,Danilo,NO
Anees,Syed,0009-0005-3022-7761
Ang,Lee-Cyn,0000-0003-0940-4995
Ansari,Daniel,0000-0002-7625-618X
Ansari ,Emily,0000-0001-6978-9490
Antia,Kersi,0000-0002-4831-4653
Antiperovitch,Pavel,0000-0002-8814-9015
Antoniou,Andreas,NO
Appleton,Andrew,0000-0001-8452-5012
Appleton,Christopher,0000-0001-7148-0767
Appleton,Sarah,NO
Arab,Juan Pablo,0000-0002-8561-396X
Arango,Miguel,NO
Araujo Monteiro Da Silva,Rodrigo,NO
Arbeau,Ryan,NO
Archibald,Lisa,0000-0002-2478-7544
Ari,Nilgun,0000-0001-6632-4698
Arifin,Andrew,NO
Arjalies,Diane-Laure,0000-0002-4070-9191
Arku,Godwin,0000-0001-7720-1554
armstrong,kevin,0000-0003-3929-028X
Armstrong,Paidrig,NO
Armstrong,Sarah,NO
Armstrong,Christopher,NO
Armstrong,Souzan,NO
Armstrong ,Dave,0000-0002-9358-2489
Arntfield,Michael Andrew,0009-0002-1736-9683
Arntfield,Robert,0000-0003-4954-487X
Arseneault,Christopher,0009-0009-8969-1541
Arts,Eric,0000-0002-4880-7968
Asfaha,Samuel,0000-0001-6972-0338
Ashmore,Peter,0000-0002-2928-2406
Ashok,Dhandapani,NO
Asokanthan,Samuel F,0000-0001-5917-4353
Ataie,Lili,0009-0000-0846-3534
Ataullahjan,Anushka,0000-0001-5261-5523
Athanassakos,George,0000-0002-8075-2936
Athwal,George,0000-0002-5174-219X
Atkinson,Michael,NO
Atwan,Yousif,0000-0001-9653-5891
Augustine,Sajit,0000-0002-2161-4226
Aulak,Jasmine,NO
Austin,Laurel,0000-0002-6301-3146
Austin,Rob,0000-0002-0251-932X
Avan,Abolfazl,NO
Awad,Bassem,0009-0006-7795-2730
Awani,Tuoyo,0009-0000-6834-5783
Azarpazhooh,Mahmoud Reza,0000-0003-2884-7572
Babalola,Oluwafunmbi,NO
Babenko-Mould,Yolanda,0009-0003-4994-5857
Bach,David,NO
Badrkhani Ajaei,Firouz,0000-0003-3950-695X
Baerg,Theodore,0009-0000-5470-8061
