etd_1
thesis_format,title,publication_date,degree_name,department,department2,embargo,embargo_date,embargo_reason,language,keywords,disciplines,distribution_license,author1_institution
,Holomorphic k-differentials and holomorphic approximation on open Riemann surfaces,2010-08-19 00:00,Doctor of Philosophy,Mathematics,,TRUE,2011-08-30 00:00,,English,"Riemann surface, k-differential, Poincare series, holomorphic approximation, Extension Theorem",Analysis,,The University of Western Ontario
,Options Under Uncertainty:  An Empirical Investigation of Patterns of Commitment in Display Technologies in the Flat Panel TV Set Industry,2010-04-10 00:00,Doctor of Philosophy,Business,,FALSE,,,English,"real options, uncertainty, strategic commitment, flat panel display industry, television set industry",Strategic Management Policy,,"The University of Western Ontario, Richard Ivey School of Business"
,Response of a Two-Story Residential House Under Realistic Fluctuating Wind Loads,2010-09-14 00:00,Doctor of Philosophy,Civil and Environmental Engineering,,FALSE,,,English,"wind loads, low-rise building, structural failures, roof-to-wall connections, full scale testing, structural response",Civil Engineering; Structural Engineering,,The University of Western Ontario
,Physical Function During Performance-Based Tasks and Throughout Daily Life. Is It Different Across Levels of Frailty?,2010-04-11 00:00,Doctor of Philosophy,Health and Rehabilitation Sciences,,FALSE,,,English,"frail, aging, women, physical activity, exercise, accelerometer",Rehabilitation and Therapy,,The University of Western Ontario
,Ontological View-driven Semantic Integration in Open Environments,2010-09-20 00:00,Doctor of Philosophy,Electrical and Computer Engineering,,FALSE,,,English,"Semantic Integration, Ontology, Ontological View, Frame, Semantic Relationship Discovery",Computer Engineering,,The University of Western Ontario
,Kant and the Fact of Reason,,Doctor of Philosophy,Philosophy,,,,,English,"Kantian ethics, kant, moral philosophy, ethics, morality, fact of reason",Ethics and Political Philosophy,,The University of Western Ontario
,The Information Practices of People Living with Depression: Constructing Credibility and Authority,2010-11-10 00:00,Doctor of Philosophy,Library & Information Science,,,,,English,"complementary and alternative medicine, depression, discourse analysis, information practices, experiential, expert, and authoritative knowledge, cognitive authority, and credibility",Library and Information Science,,The University of Western Ontario
,"Feeling, Impulse and Changeability: The Role of Emotion in Hume's Theory of the Passions",2010-09-17 00:00,Doctor of Philosophy,Philosophy,,,,,English,"David Hume, passion, emotion, history of theories of emotion, feeling",History of Philosophy; Philosophy; Philosophy of Mind,,University of Western Ontario
,Outlawry and the Experience of the (Im)possible: Deconstructing Biopolitics,2010-10-15 00:00,Doctor of Philosophy,Theory and Criticism,,,2010-11-01 00:00,,English,"Outlawry, deconstruction, biopolitics, becoming minoritarian, Derrida, Deleuze",Political Theory,,University of Western Ontario
,Regulation of DNA Damage Processing by Covalent Modification of Thymine DNA Glycosylase,2010-05-14 00:00,Doctor of Philosophy,Pharmacology and Toxicology,,FALSE,,,English,"Thymine DNA glycosylase (TDG), DNA base excision repair (BER), Epigenetic modification, Acetylation, Phosphorylation, Sumoylation",Cancer Biology,,The University of Western Ontario
