Number,Year,Entry,Journal,Volume/Issue,Pages,Extracted_Journal,Extracted_Volume,Extracted_Issue,Extracted_PageStart,Extracted_PageEnd
1,1940,"What is it? - beechnut burs. New Eng .and Naturalist, No. 7: 31.","What is it? - beechnut burs. New Eng .and Naturalist, No",7,31,,,,,
2,1940,"What is it? - cocoons of the oriental moth (Cnidocampa flavescens).  New England Naturalist, No. 8: 31.","What is it? - cocoons of the oriental moth (Cnidocampa flavescens).  New England Naturalist, No",8,31,,,,,
3,1943,"Dipterous larvae parasitic on nestlin :s of the song sparrow. Canadian Field-Naturalist, 57 (7 and 8 I : 146.",,,,,,,,
4,1946,"Leaf-rollers of the genus Cacoecia (T 1rtricidae) on Trillium. Canadian Field-Naturalist, 60 (6): 116.",,,,Canadian Field-Naturalist,60,6,116,
5,1947,"The proventriculus of Staphylinus bad .pes Lee. (Coleoptera: Staphylinidae). Canadian Journal of Research (D), 25  119 - 121.",,,,Canadian Journal of Research (D),25,,119,121
6,1947,"The proventriculus of a ground beetle Chlaenius sp. (Colemptera  Carabidae). Canadian Entomologist, 7' (3): 58 - 60.",,,,,,,,
7,1947,"The proventricular region of Machilis variabilis Say (Thysanura  Machilidae). Canadian Journal of Res ,arch (D), 25: 135 - 138.","The proventricular region of Machilis variabilis Say (Thysanura  Machilidae). Canadian Journal of Res ,arch (D)",25,135,,,,,
8,1947,"The proventriculus of Macrobasis unic •lor Kirby (Coleoptera: Meloidae). Am1als of the Entomological Society o • America, 40 (3): 518 - 521.",,,,Am1als of the Entomological Society o • America,40,3,518,521
9,1947,"The proventriculus of the larva of th caddis-fly, Macronema zebratum  Hagen (Trichoptera: Hydropsychidae). Canadian Journal of Research (D),  25: 87 - 90.","The proventriculus of the larva of th caddis-fly, Macronema zebratum  Hagen (Trichoptera: Hydropsychidae). Canadian Journal of Research (D)",25,87,Canadian Journal of Research (D),25,,87,90
10,1947,"Letter to the Editor (Bonaparte gulls on Dundas Marsh). Bulletin of  the Hamilton Nature Club, September 2 ,1947: 6.",,,,,,,,
